ID,TRANSCRIPT
8254-115543-0001,S BCH THESSTSP TOCH
8254-115543-0006,CH P
8254-115543-0045,FDS P
8254-115543-0025,THEDS TOSD ANDCHSPPD
8254-115543-0021,CHPSCHS THECH TOCHS SSSSCHS F
8254-115543-0040,S F
8254-115543-0003,SSCHSPT TO
8254-115543-0029,SSS HESCH SSPSS
8254-115543-0012,THE S TCH S S
8254-115543-0007,CHST THE
8254-115543-0015,AND TO THE BTS
8254-115543-0023,SS SPCH SSCH FCHS THES TOSPS T
8254-115543-0026,SCHT
8254-115543-0031,SP TOS TOT THET
8254-115543-0037,S
8254-115543-0033,SS
8254-115543-0004,D TOPT SCHCHCHP
8254-115543-0030,SSTS F THES
8254-115543-0002,THEPSCH TO S SS SPDS THE TOCHS TO
8254-115543-0019,THE SPSSP FT
8254-115543-0017,S BS ANDSCH S
8254-115543-0041,S TOSCHS TOCH
8254-115543-0038,ANDS THES THES
8254-115543-0036,S S SSPS S TOS TS THECHP TO THES
8254-115543-0028,CH TO TO BS ANDSS SSSS
8254-115543-0009,ANDSSSS SSTSTS
8254-115543-0042,THES SCH THE S
8254-115543-0034,BSS FTCH SS
8254-115543-0024,S SSCHS
8254-115543-0010,L BS F TO SST
8254-115543-0035,ANDPS S SCHT TOSPS THECHS THET S FST
8254-115543-0008,SSD THESSP S TO F S THECHSP BPS ANDCH TODCH
8254-115543-0014,FT P TO S SP TO S BTCH
8254-115543-0016,S THE FS AND PS SPCHSSCH
8254-115543-0005,S THEP SS SSP SS
8254-115543-0000,THESS TOSCHSP
8254-115543-0039,WPPCHCH TOS TO
8254-115543-0032,SSS BCH FCH T TOT TO TOS
8254-115543-0022,SS THESD TO S S F
8254-115543-0013,CHT SSST
8254-115543-0018,S THE TOSSCH
8254-115543-0043,CH FCH THE
8254-115543-0044,S FSTS
8254-115543-0027,SS TEDCHSS
8254-115543-0011,F SCHS SSS THEPS THE SCHP F
8254-115543-0020,SPD SR TOSSCHD
8254-84205-0006,PS ST
8254-84205-0060,CHS THESSSS
8254-84205-0004,S THE F TOT TO
8254-84205-0058,SSCHS
8254-84205-0036,ST FS F
8254-84205-0066,TO TOCHSS SHESTIONS
8254-84205-0073,SS SS
8254-84205-0030,S SCH
8254-84205-0045,SSA SCH THES TO ANDTCH TSCHS SCHSS
8254-84205-0024,CHT TO
8254-84205-0023,CHS
8254-84205-0028,CHS
8254-84205-0012,S TO S TO
8254-84205-0070,THES S THES SS
8254-84205-0014,STT
8254-84205-0057,SS SS S S
8254-84205-0032,THECHSCH
8254-84205-0039,SSS
8254-84205-0002,CH PCH
8254-84205-0049,SSS
8254-84205-0027,SHESCHS
8254-84205-0076,S FSS S SSS
8254-84205-0035,S
8254-84205-0018,FTS
8254-84205-0067,ANDS STS
8254-84205-0042,
8254-84205-0008,CHEDS THECH
8254-84205-0034,SCH
8254-84205-0025,ANDSS ANDCHS
8254-84205-0053,S
8254-84205-0075,FS
8254-84205-0041,SCHSS
8254-84205-0055,ANDSTSSSS
8254-84205-0069,CHS TOSS
8254-84205-0022,S ST
8254-84205-0003,SSSSS TOCHSS THE THESF
8254-84205-0044,CH SHECHCH
8254-84205-0054,CHSSSSCHS SF
8254-84205-0009,S S TO
8254-84205-0068,S THE S
8254-84205-0064,SCH
8254-84205-0031,CHT
8254-84205-0052,SSS
8254-84205-0007,SS ANDSCH
8254-84205-0050,S TOS
8254-84205-0001,CH SCHSSSSPSCHCHSS
8254-84205-0029,SHE B FS B THESCHS
8254-84205-0048,S TOSS SSSCHS
8254-84205-0043,CHT SCH
8254-84205-0021,S FCH
8254-84205-0061,ISSSSCHSF
8254-84205-0059,SS
8254-84205-0000,CHTSP
8254-84205-0074,SSST
8254-84205-0047,CHS S
8254-84205-0013,
8254-84205-0056,CHSS F S
8254-84205-0016,S TO
8254-84205-0005,SS TOPS F TO
8254-84205-0011,SHECH S FCHSTS
8254-84205-0063,FS SSCHCH F
8254-84205-0065,PS S
8254-84205-0017,CHST SHES
8254-84205-0051,SSSS T
8254-84205-0046,ST
8254-84205-0071,S TOSSCH TOS
8254-84205-0010,S
8254-84205-0026,SS
8254-84205-0037,SSSTS
8254-84205-0062,SS
8254-84205-0040,SHES THES
8254-84205-0015,S
8254-84205-0072,SS TOSSS
